Category,Type,Subtype,FieldName,FieldType,FieldBitmask
Heartbeat,System,HEARTBEAT,,,
Testing,System,TEXTMSG,,,
,,,textdata,string,FALSE
Testing,System,BINMSG,,,
,,,data,bytes,FALSE
Network,System,ONLINE,,,
Network,System,FIND,,,
,,,id,bytes,FALSE
Network,System,PING,,,
Reply,Network,ACK,,,
Reply,Command,RESULT,,,
,,,CommandResult,enum,FALSE
Reply,Network,FIND,,,
,,,found,bool,FALSE
,,,intf,bytes,TRUE
,,,loss,int,FALSE
,,,latency,int,FALSE
,,,rssi,int,FALSE
,,,snr,int,FALSE
Status,System,FLIGHT,,,
,,,FlightMode,enum,FALSE
,,,airspeed,int,FALSE
,,,groundspeed,int,FALSE
,,,heading,int,FALSE
,,,msl_alt,int,FALSE
,,,packed_mgrs,bytes,FALSE
Status,System,POSITION,,,
,,,packed_mgrs,bytes,FALSE
Command,System,ACTIVATE,,,
Command,System,SHUTDOWN,,,
Command,System,SET_FLIGHT_MODE,,,
Command,System,SWITCH_DATALINK,,,
Command,System,DATALINK_CONFIG,,,
Command,AP,ARM,,,
Command,AP,DISARM,,,
Command,AP,SET_MODE,,,
,,,mode_str,bytes,FALSE
Command,AP,TAKEOFF,,,
,,,alt_m,int,FALSE
Command,AP,LAND,,,
Command,AP,SELECT_MISSION,,,
,,,seq,int,FALSE
Status,AP,HL_TELEM,,,
,,,mode_str,string,FALSE
,,,airspeed,int,FALSE
,,,groundspeed,int,FALSE
,,,heading,int,FALSE
,,,msl_alt,int,FALSE
,,,packed_mgrs,bytes,FALSE
Status,INAV,TELEM,,,
,,,inavmodes,int,FALSE
,,,airspeed,int,FALSE
,,,groundspeed,int,FALSE
,,,heading,int,FALSE
,,,msl_alt,int,FALSE
,,,packed_mgrs,bytes,FALSE
