Payload,Field,Value
CommandResult,,
,_info,Reply to Command
,ACCEPTED,1
,TEMPORARILY_REJECTED,2
,DENIED,3
,UNSUPPORTED,4
,FAILED,5
,IN_PROGRESS,6
,CANCELLED,7
DataError,,
,_info,Reply to Data
,NOT_FOUND,1
,DEVICE_UNAVAILABLE,2
,HARDWARE_ERROR,3
,SOFTWARE_ERROR,4
,DATABASE_ERROR,5
FlightMode,,
,_info,
,ACRO,1
,ANGLE,2
,POSHOLD,3
,NAV_WP,4
,LOITER,5
,CRUSE,6
,RTH,7
,LANDING,8
,DISARMED,9
FlightPhase,,
,_info,
,PREFLIGHT,1
,TAKEOFF,2
,CRUISE,3
,MISSION_OPERATION,4
,RTB,5
,LANDING,6
,POSTFLIGHT,7
MissionPhase,,
,_info,
,BOOTING,1
,ONLINE,2
,MISSION_RECEIVED,3
,READY_TAKEOFF,4
,TAKEOFF_COMPLETE,5
,ENROUTE,6
,AT_ASSEMBLY,7
,HOLDING,8
,PROCEEDING,9
,BINGO,10
,RTB,11
,LANDING,12
,LANDED,13
,SHUTDOWN,14
